Team,4IN5-B2B ,3IN4-B2B ,B2B ,3IN4 ,Opponent,4IN5-B2B ,3IN4-B2B ,B2B ,3IN4 
Hawks,3,12,21,15,,3,11,16,16
Celtics,2,14,18,13,,2,9,14,20
Nets,3,12,19,12,,5,12,20,16
Hornets,2,14,22,16,,3,13,24,19
Bulls,2,9,20,13,,3,12,21,12
Cavaliers,3,10,20,14,,0,8,11,9
Mavericks,1,9,17,12,,4,12,24,8
Nuggets,4,12,21,13,,4,9,21,13
Pistons,4,9,22,15,,4,8,14,16
Warriors,4,7,19,14,,2,6,19,17
Rockets,2,13,20,12,,4,7,19,13
Pacers,1,13,18,10,,2,17,23,7
Clippers,3,10,20,16,,0,11,19,12
Lakers,1,13,16,11,,1,8,13,18
Grizzlies,1,11,20,11,,5,14,23,9
Heat,1,10,17,13,,3,14,26,11
Bucks,4,11,21,13,,3,16,25,13
Timberwolves,2,12,19,13,,1,18,25,11
Pelicans,2,11,20,13,,2,5,12,21
Knicks,3,15,20,13,,2,11,18,10
Thunder,0,14,18,14,,1,8,10,8
Magic,3,11,17,12,,1,8,13,8
76ers,2,13,21,14,,1,13,18,17
Suns,1,11,18,14,,2,11,18,12
Trailblazers,4,12,19,12,,1,15,22,13
Kings,2,9,17,12,,2,11,18,14
Spurs,0,14,21,14,,1,11,18,13
Raptors,3,10,19,13,,0,14,23,15
Jazz,2,9,19,13,,3,15,27,10
Wizards,4,9,19,11,,4,12,24,10
