Team,4IN5-B2B ,3IN4-B2B ,B2B ,3IN4 ,Opponent,4IN5-B2B ,3IN4-B2B ,B2B ,3IN4 ,,,,,
Hawks,4,8,20,12,,6,13,21,16,,,,,
Celtics,2,16,20,15,,2,10,16,16,,,,,
Nets,2,10,20,9,,2,13,16,13,,,,,
Hornets,3,12,22,14,,1,12,19,14,,,,,
Bulls,2,11,17,16,,2,15,27,10,,,,,
Cavaliers,2,14,20,10,,0,10,16,9,,,,,
Mavericks,2,9,16,10,,3,11,19,15,,,,,
Nuggets,1,9,14,11,,1,9,15,10,,,,,
Pistons,3,12,20,14,,3,10,20,17,,,,,
Warriors,1,9,15,12,,0,12,23,10,,,,,
Rockets,3,10,20,14,,2,10,22,13,,,,,
Pacers,3,9,20,13,,1,10,18,19,,,,,
Clippers,1,12,17,11,,1,15,26,11,,,,,
Lakers,2,9,19,16,,1,4,11,10,,,,,
Grizzlies,3,9,18,12,,4,13,22,13,,,,,
Heat,3,9,17,13,,1,8,12,7,,,,,
Bucks,4,10,21,12,,2,13,19,11,,,,,
Timberwolves,2,9,20,14,,3,10,21,14,,,,,
Pelicans,2,13,19,11,,4,11,22,15,,,,,
Knicks,4,7,18,13,,2,7,14,10,,,,,
Thunder,1,9,15,11,,3,8,16,13,,,,,
Magic,1,10,18,13,,2,4,17,11,,,,,
76ers,0,14,20,14,,5,13,25,10,,,,,
Suns,2,9,18,16,,1,7,14,8,,,,,
Trailblazers,3,12,19,13,,4,11,23,10,,,,,
Kings,1,11,19,11,,0,7,11,13,,,,,
Spurs,1,11,19,13,,0,15,19,14,,,,,
Raptors,1,12,18,12,,2,16,24,12,,,,,
Jazz,1,12,21,14,,4,12,18,18,,,,,
Wizards,3,10,20,12,,1,8,14,19,,,,,
